Movie Genre,Associated Music Genres
"Drama, Sport","acoustic,piano,edm,pop,singer-songwriter,rock,indie-pop,pump-up,hip-hop,alternative,dance,electronic,indie"
"Action, Romance","folk,punk,r-n-b,dubstep,hard-rock,romantic,pop,singer-songwriter,drum-and-bass,rock,metal,electronic,indie,soul"
Sport,"edm,pop,pump-up,hip-hop,rock,dance,electronic"
"Drama, Fantasy, Horror","acoustic,darkwave,piano,folk,ambient,metal,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,noise,alternative,dark-ambient,world-music,electronic,indie,industrial"
"Comedy, Family, Western","acoustic,country,folk,alternative,children,bluegrass,blues,pop,singer-songwriter,kids,rock,upbeat,fun"
"Action, Mystery, Sci-Fi","chill,punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,downtempo,drum-and-bass,space,dark-ambient,rock,metal,trip-hop,electronic"
"Drama, Thriller, Western","acoustic,country,piano,ambient,folk,dubstep,blues,bluegrass,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
"Comedy, Family, Musical","folk,children,pop,singer-songwriter,kids,musical-theatre,dance,upbeat,r-n-b,indie,fun,soul"
"Animation, Musical","pop,singer-songwriter,dance,r-n-b,indie,musical-theatre,soul"
"Drama, Fantasy, History","acoustic,piano,folk,ambient,classical,epic,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,opera,alternative,world-music,indie,symphony"
"Music, Musical, Romance","jazz,folk,funk,blues,pop,romantic,singer-songwriter,hip-hop,dance,r-n-b,indie,musical-theatre,soul"
"Drama, Family, Sport","acoustic,piano,folk,edm,children,pop,singer-songwriter,rock,indie-pop,kids,pump-up,hip-hop,alternative,dance,upbeat,electronic,indie,fun"
"Comedy, Drama, Thriller","acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
"Romance, Drama","acoustic,folk,piano,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
"Drama, Family, History","piano,pop,epic,indie-pop,opera,upbeat,folk,singer-songwriter,kids,acoustic,ambient,world-music,classical,fun,alternative,children,rock,symphony,indie"
"Action, Fantasy, Horror","darkwave,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,dark-ambient,noise,rock,metal,world-music,electronic,industrial"
"Animation, Adventure, Music","acoustic,jazz,folk,ambient,funk,blues,pop,hip-hop,new-age,alternative,world-music,r-n-b,rock,soul"
"Comedy, Sci-Fi","ambient,synth-pop,retro,synthwave,space,chill,electronic"
"Family, Adventure, Animation","acoustic,folk,ambient,children,pop,singer-songwriter,kids,world-music,new-age,alternative,upbeat,rock,fun"
"Drama, Family, Sci-Fi","piano,pop,indie-pop,upbeat,folk,synth-pop,singer-songwriter,synthwave,retro,kids,acoustic,ambient,space,chill,electronic,fun,alternative,children,rock,indie"
"Fantasy, Thriller","folk,ambient,chill,dubstep,soundtrack,epic-fantasy,synthwave,drum-and-bass,alternative,dark-ambient,world-music,electronic,rock"
"Drama, Fantasy, Musical","acoustic,piano,folk,ambient,pop,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,dance,world-music,r-n-b,indie,musical-theatre,soul"
"Animation, Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
"Action, Comedy, Romance","folk,punk,r-n-b,dubstep,hard-rock,romantic,pop,singer-songwriter,drum-and-bass,rock,metal,electronic,indie,soul"
"Comedy, Crime, Fantasy","folk,reggae,ambient,dubstep,epic-fantasy,soundtrack,trap,drum-and-bass,grime,hip-hop,alternative,world-music,electronic,rock"
"Adventure, Biography, War","acoustic,indie,folk,ambient,country,patriotic,punk,pop,soundtrack,singer-songwriter,indie-pop,new-age,alternative,metal,world-music,rock"
"Adventure, Drama, Sci-Fi","acoustic,indie,folk,ambient,piano,chill,synth-pop,singer-songwriter,synthwave,retro,indie-pop,space,new-age,alternative,world-music,electronic,rock"
"Animation, Family, Sci-Fi","folk,ambient,chill,children,pop,synth-pop,singer-songwriter,synthwave,retro,kids,space,upbeat,electronic,fun"
"Animation, Comedy, Drama","acoustic,piano,singer-songwriter,rock,indie-pop,alternative,indie"
"Comedy, Crime, Romance","folk,reggae,r-n-b,dubstep,romantic,pop,singer-songwriter,trap,drum-and-bass,grime,hip-hop,electronic,indie,soul"
"Adventure, Fantasy, History","acoustic,folk,ambient,piano,classical,epic,epic-fantasy,soundtrack,opera,new-age,alternative,world-music,rock,symphony"
"Action, Adventure, Mystery","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synthwave,downtempo,drum-and-bass,dark-ambient,new-age,rock,metal,world-music,electronic,trip-hop"
"Drama, Horror, Musical","piano,pop,indie-pop,darkwave,singer-songwriter,noise,dark-ambient,acoustic,ambient,metal,electronic,alternative,industrial,rock,dance,r-n-b,indie,musical-theatre,soul"
"Comedy, Drama, War","acoustic,piano,punk,patriotic,soundtrack,singer-songwriter,rock,indie-pop,alternative,metal,world-music,indie"
"Mystery, Romance, Thriller","indie,folk,ambient,r-n-b,dubstep,romantic,pop,singer-songwriter,synthwave,downtempo,drum-and-bass,dark-ambient,chill,electronic,trip-hop,soul"
"Drama, Romance, Sport","acoustic,piano,folk,edm,romantic,pop,singer-songwriter,rock,indie-pop,electronic,pump-up,hip-hop,alternative,dance,r-n-b,indie,soul"
"Biography, Drama, Thriller","acoustic,country,folk,piano,ambient,dubstep,pop,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
"Crime, Mystery","chill,reggae,ambient,dubstep,synthwave,trap,downtempo,drum-and-bass,grime,hip-hop,dark-ambient,trip-hop,electronic"
"Drama, Fantasy, Music","jazz,piano,funk,pop,epic-fantasy,soundtrack,indie-pop,folk,singer-songwriter,acoustic,ambient,world-music,alternative,blues,hip-hop,rock,r-n-b,indie,soul"
"Comedy, Music, Thriller","jazz,ambient,dubstep,funk,blues,pop,synthwave,electronic,drum-and-bass,hip-hop,dark-ambient,chill,r-n-b,soul"
"Biography, Drama, Musical","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,dance,r-n-b,indie,musical-theatre,soul"
"Comedy, Family, Sci-Fi","folk,ambient,chill,children,pop,synth-pop,singer-songwriter,synthwave,retro,kids,space,upbeat,electronic,fun"
"Biography, Drama, Sport","acoustic,country,folk,piano,edm,pop,singer-songwriter,rock,indie-pop,pump-up,hip-hop,alternative,dance,electronic,indie"
"Action, Drama, Family","piano,pop,indie-pop,upbeat,rock,folk,dubstep,singer-songwriter,kids,acoustic,hard-rock,metal,electronic,fun,punk,children,drum-and-bass,alternative,indie"
"Adventure, Mystery, Thriller","acoustic,folk,ambient,chill,dubstep,trip-hop,synthwave,downtempo,drum-and-bass,new-age,alternative,dark-ambient,world-music,electronic,rock"
"Adventure, Comedy, Romance","acoustic,indie,folk,ambient,romantic,pop,singer-songwriter,new-age,alternative,world-music,r-n-b,rock,soul"
"Comedy, Romance, Sci-Fi","folk,ambient,romantic,pop,singer-songwriter,synthwave,synth-pop,electronic,retro,space,chill,r-n-b,indie,soul"
"Action, Adventure, Biography","acoustic,country,folk,punk,ambient,dubstep,hard-rock,alternative,pop,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
"Comedy, Crime, Music","jazz,reggae,r-n-b,dubstep,funk,blues,pop,trap,drum-and-bass,grime,hip-hop,electronic,soul"
"Action, Horror, Sci-Fi","darkwave,punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,noise,rock,metal,chill,electronic,industrial"
"Animation, Drama, Mystery","acoustic,piano,chill,ambient,singer-songwriter,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,trip-hop,electronic,indie"
"Action, Romance, Thriller","folk,punk,r-n-b,dubstep,hard-rock,ambient,romantic,pop,singer-songwriter,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic,indie,soul"
"Drama, Fantasy, Sci-Fi","acoustic,piano,folk,ambient,chill,synth-pop,epic-fantasy,singer-songwriter,soundtrack,synthwave,rock,indie-pop,space,retro,alternative,world-music,electronic,indie"
"Action, Horror","darkwave,punk,ambient,dubstep,hard-rock,drum-and-bass,dark-ambient,noise,rock,metal,electronic,industrial"
"Comedy, Crime, Family","folk,reggae,dubstep,children,pop,singer-songwriter,trap,kids,drum-and-bass,grime,hip-hop,upbeat,electronic,fun"
"Action, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
"Drama, Horror, Western","acoustic,darkwave,piano,ambient,country,folk,blues,bluegrass,metal,singer-songwriter,rock,indie-pop,noise,alternative,dark-ambient,electronic,indie,industrial"
"Fantasy, Mystery, Sci-Fi","folk,ambient,chill,trip-hop,synth-pop,soundtrack,epic-fantasy,synthwave,retro,downtempo,space,alternative,dark-ambient,world-music,electronic,rock"
"Family, History, Musical","piano,pop,epic,opera,upbeat,folk,singer-songwriter,kids,ambient,world-music,classical,fun,children,dance,symphony,r-n-b,indie,musical-theatre,soul"
"Action, Comedy, Thriller","punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
"Action, Crime, Mystery","chill,punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,downtempo,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,trip-hop,electronic"
"Action, Drama, Music","jazz,piano,funk,pop,indie-pop,rock,dubstep,singer-songwriter,acoustic,hard-rock,metal,electronic,punk,blues,drum-and-bass,hip-hop,alternative,r-n-b,indie,soul"
"Romance, Thriller","folk,ambient,dubstep,romantic,pop,singer-songwriter,synthwave,electronic,drum-and-bass,dark-ambient,chill,r-n-b,indie,soul"
"Drama, Fantasy, Sport","acoustic,piano,folk,ambient,edm,pop,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,pump-up,hip-hop,alternative,dance,world-music,electronic,indie"
"Adventure, Thriller","acoustic,folk,ambient,chill,dubstep,synthwave,drum-and-bass,new-age,alternative,dark-ambient,world-music,electronic,rock"
"Animation, Drama, War","acoustic,piano,punk,patriotic,soundtrack,singer-songwriter,rock,indie-pop,alternative,metal,world-music,indie"
"Comedy, Family, Sport","folk,edm,children,pop,singer-songwriter,kids,pump-up,hip-hop,rock,dance,upbeat,electronic,fun"
"Drama, Horror, Music","jazz,piano,funk,pop,indie-pop,darkwave,singer-songwriter,noise,dark-ambient,acoustic,ambient,metal,electronic,alternative,blues,hip-hop,rock,r-n-b,indie,industrial,soul"
"Comedy, Mystery, Romance","indie,folk,ambient,r-n-b,romantic,pop,singer-songwriter,synthwave,downtempo,dark-ambient,chill,electronic,trip-hop,soul"
"Adventure, Drama, Music","acoustic,indie,folk,ambient,piano,jazz,funk,blues,pop,singer-songwriter,indie-pop,hip-hop,new-age,alternative,world-music,r-n-b,rock,soul"
"Adventure, Music, Mystery","jazz,funk,pop,downtempo,rock,folk,synthwave,dark-ambient,trip-hop,acoustic,ambient,new-age,chill,electronic,world-music,blues,hip-hop,alternative,r-n-b,soul"
"Fantasy, Mystery, Romance","pop,soundtrack,epic-fantasy,downtempo,rock,folk,singer-songwriter,synthwave,dark-ambient,trip-hop,ambient,chill,world-music,electronic,romantic,alternative,r-n-b,indie,soul"
"Comedy, Drama, Horror","acoustic,darkwave,piano,ambient,metal,singer-songwriter,rock,indie-pop,noise,alternative,dark-ambient,electronic,indie,industrial"
"Drama, Comedy, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
"Musical, Comedy, Drama","acoustic,piano,pop,singer-songwriter,rock,indie-pop,alternative,dance,r-n-b,indie,musical-theatre,soul"
"Fantasy, Horror","darkwave,folk,ambient,metal,soundtrack,epic-fantasy,noise,alternative,dark-ambient,world-music,electronic,rock,industrial"
"Action, Horror, Thriller","darkwave,punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,noise,rock,metal,chill,electronic,industrial"
"Comedy, Thriller","ambient,dubstep,synthwave,drum-and-bass,dark-ambient,chill,electronic"
"Fantasy, Horror, Sci-Fi","darkwave,folk,ambient,chill,metal,synth-pop,soundtrack,epic-fantasy,synthwave,retro,space,noise,alternative,dark-ambient,world-music,electronic,rock,industrial"
"Crime, Mystery, Drama","piano,downtempo,indie-pop,rock,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,drum-and-bass,hip-hop,alternative,indie"
"Adventure, Crime, Drama","acoustic,indie,folk,ambient,reggae,dubstep,piano,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,new-age,alternative,world-music,electronic,rock"
"Crime, Drama, Sport","acoustic,piano,reggae,edm,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,pump-up,grime,hip-hop,alternative,dance,electronic,indie"
"Action, Drama, Fantasy","acoustic,piano,punk,folk,dubstep,hard-rock,alternative,ambient,epic-fantasy,singer-songwriter,soundtrack,indie-pop,drum-and-bass,rock,metal,world-music,electronic,indie"
"Action, Crime, Horror","darkwave,punk,reggae,dubstep,hard-rock,ambient,trap,drum-and-bass,dark-ambient,grime,noise,hip-hop,rock,metal,electronic,industrial"
"Family, Comedy","folk,children,pop,singer-songwriter,kids,upbeat,fun"
"Crime, Drama, History","piano,epic,indie-pop,opera,dubstep,singer-songwriter,grime,acoustic,reggae,ambient,trap,world-music,electronic,classical,alternative,drum-and-bass,hip-hop,rock,symphony,indie"
"Adventure, Family, Western","acoustic,country,folk,ambient,upbeat,children,bluegrass,blues,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
"Crime, Drama, Sci-Fi","piano,indie-pop,dubstep,synth-pop,singer-songwriter,synthwave,retro,grime,acoustic,reggae,ambient,trap,space,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
"Action, Fantasy, Thriller","folk,punk,ambient,dubstep,hard-rock,alternative,chill,epic-fantasy,soundtrack,synthwave,drum-and-bass,dark-ambient,rock,metal,world-music,electronic"
"Romance, Comedy","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
"Action, Adventure, Western","acoustic,country,folk,punk,ambient,dubstep,hard-rock,alternative,bluegrass,blues,drum-and-bass,new-age,rock,metal,world-music,electronic"
"Adventure, Comedy, History","acoustic,folk,ambient,piano,classical,epic,opera,new-age,alternative,world-music,rock,symphony"
"Drama, History, War","acoustic,piano,ambient,patriotic,punk,classical,epic,soundtrack,singer-songwriter,rock,indie-pop,world-music,opera,alternative,metal,symphony,indie"
"Action, Adventure, Romance","pop,rock,folk,dubstep,singer-songwriter,acoustic,ambient,hard-rock,new-age,metal,world-music,electronic,punk,romantic,drum-and-bass,alternative,r-n-b,indie,soul"
"Biography, Drama, Horror","acoustic,country,folk,piano,ambient,darkwave,metal,pop,singer-songwriter,rock,indie-pop,noise,alternative,dark-ambient,electronic,indie,industrial"
"Adventure, Drama, Thriller","acoustic,indie,folk,ambient,piano,dubstep,chill,singer-songwriter,synthwave,indie-pop,drum-and-bass,new-age,alternative,dark-ambient,world-music,electronic,rock"
"Comedy, Crime, Sci-Fi","reggae,ambient,dubstep,synth-pop,retro,synthwave,trap,drum-and-bass,space,grime,hip-hop,chill,electronic"
"Drama, Sci-Fi, Thriller","acoustic,piano,ambient,dubstep,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,space,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
"Musical, Drama, Romance","acoustic,piano,folk,pop,romantic,singer-songwriter,rock,indie-pop,alternative,dance,r-n-b,indie,musical-theatre,soul"
"Adventure, Drama, Western","acoustic,indie,folk,ambient,piano,country,blues,bluegrass,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
"Adventure, Drama, History","acoustic,indie,folk,ambient,piano,classical,epic,singer-songwriter,indie-pop,opera,new-age,alternative,world-music,rock,symphony"
"Crime, Drama, Music","jazz,piano,funk,pop,indie-pop,dubstep,singer-songwriter,grime,acoustic,reggae,trap,electronic,alternative,blues,drum-and-bass,hip-hop,rock,r-n-b,indie,soul"
"Crime, Drama, Family","piano,pop,indie-pop,upbeat,folk,dubstep,singer-songwriter,kids,grime,acoustic,reggae,trap,electronic,fun,alternative,children,drum-and-bass,hip-hop,rock,indie"
"Drama, Film-Noir, Romance","acoustic,jazz,piano,soul,folk,blues,funk,romantic,pop,singer-songwriter,rock,indie-pop,jazz-noir,trumpet,alternative,r-n-b,indie,saxophone"
"Adventure, History, Romance","acoustic,indie,folk,ambient,piano,soul,classical,epic,romantic,pop,singer-songwriter,opera,new-age,alternative,world-music,r-n-b,rock,symphony"
"Action, Horror, Western","acoustic,darkwave,country,punk,ambient,dubstep,hard-rock,bluegrass,folk,blues,alternative,drum-and-bass,dark-ambient,noise,rock,metal,electronic,industrial"
"Romance, Sci-Fi","folk,ambient,romantic,pop,singer-songwriter,synthwave,synth-pop,electronic,retro,space,chill,r-n-b,indie,soul"
"Drama, Fantasy, War","acoustic,piano,folk,ambient,patriotic,punk,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,metal,world-music,indie"
"Crime, Drama, War","piano,soundtrack,indie-pop,patriotic,dubstep,singer-songwriter,grime,acoustic,reggae,trap,metal,world-music,electronic,punk,alternative,drum-and-bass,hip-hop,rock,indie"
"Drama, Mystery, War","piano,soundtrack,downtempo,indie-pop,patriotic,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,metal,chill,world-music,electronic,punk,alternative,rock,indie"
"Comedy, Fantasy, Mystery","folk,ambient,chill,trip-hop,soundtrack,epic-fantasy,synthwave,downtempo,alternative,dark-ambient,world-music,electronic,rock"
"Action, Fantasy, Musical","pop,epic-fantasy,soundtrack,rock,folk,dubstep,singer-songwriter,ambient,hard-rock,metal,world-music,electronic,punk,drum-and-bass,alternative,dance,r-n-b,indie,musical-theatre,soul"
"Comedy, Horror, Romance","darkwave,folk,ambient,r-n-b,romantic,pop,singer-songwriter,dark-ambient,noise,metal,electronic,indie,industrial,soul"
"Music, Drama, Romance","jazz,acoustic,piano,folk,funk,blues,pop,romantic,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
"Drama, Film-Noir, Thriller","jazz,piano,funk,indie-pop,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,trumpet,chill,electronic,saxophone,alternative,blues,jazz-noir,drum-and-bass,rock,indie,soul"
"Comedy, Drama, Mystery","acoustic,piano,chill,ambient,singer-songwriter,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,trip-hop,electronic,indie"
"Film-Noir, Mystery, Thriller","jazz,chill,soul,ambient,dubstep,blues,funk,synthwave,downtempo,jazz-noir,trumpet,drum-and-bass,dark-ambient,trip-hop,electronic,saxophone"
"Romance, Sci-Fi, Thriller","folk,ambient,dubstep,romantic,pop,singer-songwriter,synthwave,synth-pop,electronic,retro,space,drum-and-bass,dark-ambient,chill,r-n-b,indie,soul"
"Mystery, Thriller, Drama","acoustic,indie,piano,ambient,dubstep,singer-songwriter,synthwave,downtempo,indie-pop,drum-and-bass,rock,alternative,dark-ambient,chill,electronic,trip-hop"
"Film-Noir, Thriller","jazz,soul,ambient,dubstep,blues,funk,synthwave,jazz-noir,trumpet,drum-and-bass,dark-ambient,chill,electronic,saxophone"
"Adventure, Animation, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
"Biography, Drama, War","acoustic,country,folk,piano,patriotic,punk,pop,soundtrack,singer-songwriter,rock,indie-pop,alternative,metal,world-music,indie"
"Thriller, Crime, Drama","acoustic,piano,ambient,reggae,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
"Adventure, Biography, Drama","acoustic,indie,folk,ambient,country,piano,pop,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
Biography,"acoustic,country,folk,pop,singer-songwriter,indie-pop,indie"
"Adventure, Fantasy, Romance","acoustic,indie,folk,ambient,romantic,epic-fantasy,soundtrack,pop,singer-songwriter,new-age,alternative,world-music,r-n-b,rock,soul"
"Animation, Drama","acoustic,piano,singer-songwriter,rock,indie-pop,alternative,indie"
"Drama, Music, Musical","acoustic,jazz,piano,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,dance,r-n-b,indie,musical-theatre,soul"
"Comedy, War","punk,patriotic,alternative,soundtrack,rock,metal,world-music"
"Adventure, Musical, Family","acoustic,indie,folk,ambient,upbeat,children,pop,singer-songwriter,fun,kids,new-age,alternative,dance,world-music,r-n-b,rock,musical-theatre,soul"
"Adventure, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
"Drama, Family, Western","acoustic,country,piano,folk,children,bluegrass,blues,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
"Animation, Comedy, Crime","reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
"Animation, Family","folk,children,pop,singer-songwriter,kids,upbeat,fun"
"Action, History","piano,punk,ambient,dubstep,hard-rock,epic,drum-and-bass,world-music,opera,rock,metal,symphony,electronic,classical"
"Drama, Sport, Thriller","piano,edm,pop,indie-pop,pump-up,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,chill,electronic,alternative,drum-and-bass,hip-hop,rock,dance,indie"
"Adventure, Biography, Crime","pop,indie-pop,rock,folk,dubstep,singer-songwriter,grime,acoustic,ambient,reggae,trap,new-age,world-music,electronic,country,drum-and-bass,hip-hop,alternative,indie"
"War, Drama","acoustic,piano,punk,patriotic,alternative,soundtrack,singer-songwriter,indie-pop,rock,metal,world-music,indie"
"Comedy, Mystery, Thriller","ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,chill,electronic,trip-hop"
"Thriller, Comedy","ambient,dubstep,synthwave,drum-and-bass,dark-ambient,chill,electronic"
"Crime, Horror, Western","darkwave,folk,dubstep,grime,noise,dark-ambient,acoustic,reggae,ambient,bluegrass,trap,metal,electronic,country,alternative,blues,drum-and-bass,hip-hop,rock,industrial"
"Adventure, Horror, Mystery","acoustic,darkwave,folk,ambient,chill,metal,trip-hop,synthwave,downtempo,noise,new-age,alternative,dark-ambient,world-music,electronic,rock,industrial"
Crime,"reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
"Drama, Fantasy, Thriller","acoustic,piano,folk,ambient,dubstep,chill,epic-fantasy,singer-songwriter,soundtrack,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,world-music,electronic,indie"
"Crime, Film-Noir, Mystery","jazz,funk,downtempo,dubstep,synthwave,grime,dark-ambient,trip-hop,reggae,ambient,trap,trumpet,chill,electronic,saxophone,blues,jazz-noir,drum-and-bass,hip-hop,soul"
"Drama, Thriller, Crime","acoustic,piano,ambient,reggae,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
"Crime, Horror, Romance","pop,darkwave,folk,dubstep,singer-songwriter,grime,noise,dark-ambient,reggae,ambient,trap,metal,electronic,romantic,drum-and-bass,hip-hop,r-n-b,indie,industrial,soul"
"Comedy, History","piano,ambient,epic,opera,world-music,classical,symphony"
"Action, Adventure, History","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,epic,drum-and-bass,opera,new-age,rock,metal,world-music,electronic,classical,symphony"
"Crime, Musical, Mystery","pop,downtempo,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,reggae,ambient,trap,chill,electronic,drum-and-bass,hip-hop,dance,r-n-b,indie,musical-theatre,soul"
"Action, Crime, Fantasy","folk,punk,reggae,dubstep,hard-rock,ambient,alternative,epic-fantasy,soundtrack,trap,drum-and-bass,grime,hip-hop,rock,metal,world-music,electronic"
"Adventure, Romance, Sci-Fi","pop,rock,folk,synth-pop,singer-songwriter,synthwave,retro,acoustic,ambient,space,new-age,chill,electronic,world-music,romantic,alternative,r-n-b,indie,soul"
"Drama, Family, Music","jazz,piano,funk,pop,indie-pop,upbeat,folk,singer-songwriter,kids,acoustic,fun,alternative,children,blues,hip-hop,rock,r-n-b,indie,soul"
"Action, Mystery, Thriller","chill,punk,ambient,dubstep,hard-rock,synthwave,downtempo,drum-and-bass,dark-ambient,rock,metal,trip-hop,electronic"
"Action, War","punk,patriotic,dubstep,hard-rock,alternative,soundtrack,drum-and-bass,rock,metal,world-music,electronic"
"Action, Musical, Romance","dance,punk,r-n-b,dubstep,hard-rock,folk,pop,romantic,singer-songwriter,drum-and-bass,rock,metal,electronic,indie,musical-theatre,soul"
"Action, Sci-Fi","punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,rock,metal,chill,electronic"
"Animation, Action, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
"Animation, Action, Sci-Fi","punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,rock,metal,chill,electronic"
"Drama, History, Sport","piano,edm,epic,pop,indie-pop,pump-up,opera,singer-songwriter,acoustic,ambient,world-music,electronic,classical,alternative,hip-hop,rock,dance,symphony,indie"
"Crime, Horror, Sci-Fi","darkwave,reggae,ambient,dubstep,metal,synth-pop,retro,synthwave,trap,drum-and-bass,space,grime,noise,hip-hop,dark-ambient,chill,electronic,industrial"
"Adventure, Comedy, War","acoustic,folk,ambient,patriotic,punk,soundtrack,new-age,alternative,metal,world-music,rock"
"Biography, Comedy, Music","acoustic,country,folk,jazz,funk,blues,pop,singer-songwriter,indie-pop,hip-hop,r-n-b,indie,soul"
"Animation, Adventure, Biography","acoustic,indie,folk,ambient,country,pop,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
"Adventure, Fantasy, Sci-Fi","acoustic,folk,ambient,chill,synth-pop,epic-fantasy,soundtrack,synthwave,retro,space,new-age,alternative,world-music,electronic,rock"
"Action, Drama, Horror","acoustic,darkwave,piano,punk,ambient,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,dark-ambient,noise,rock,metal,electronic,indie,industrial"
"Comedy, Action","punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
"Action, Adventure, War","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,patriotic,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
"Adventure, Mystery, Sci-Fi","acoustic,folk,ambient,chill,trip-hop,synth-pop,retro,synthwave,downtempo,space,new-age,alternative,dark-ambient,world-music,electronic,rock"
"Action, Mystery","chill,punk,ambient,dubstep,hard-rock,synthwave,downtempo,drum-and-bass,dark-ambient,rock,metal,trip-hop,electronic"
"Mystery, Romance","indie,folk,ambient,r-n-b,romantic,pop,singer-songwriter,synthwave,downtempo,dark-ambient,chill,electronic,trip-hop,soul"
"Adventure, Drama, Sport","acoustic,indie,folk,ambient,piano,edm,pop,singer-songwriter,indie-pop,pump-up,hip-hop,new-age,alternative,dance,world-music,electronic,rock"
"Action, Comedy, Sci-Fi","punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,rock,metal,chill,electronic"
"Action, Horror, Mystery","darkwave,chill,punk,ambient,dubstep,hard-rock,synthwave,downtempo,drum-and-bass,dark-ambient,noise,rock,metal,trip-hop,electronic,industrial"
